INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	2014/01/01 al 2014/12/31
average_interval: 001h
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,,
01/01/2014,1,8,18,15,7,51,8,11,15,13,48,1,15,15,9,48,4,14,18,14,53,3,9,15,8,48,,
01/01/2014,2,8,18,14,7,52,8,12,14,13,50,1,11,14,9,48,4,12,16,14,53,5,8,15,8,50,,
01/01/2014,3,5,18,14,7,53,8,13,13,13,52,2,10,13,9,48,4,11,15,13,53,4,8,14,9,53,,
01/01/2014,4,2,18,14,9,53,7,14,13,13,55,3,9,12,9,50,4,10,14,13,54,4,8,14,11,54,,
01/01/2014,5,3,18,13,11,56,5,15,12,12,58,2,10,12,8,53,4,10,13,14,56,4,8,14,12,56,,
01/01/2014,6,2,18,13,12,58,5,15,14,12,61,2,10,12,8,56,5,10,13,14,58,3,8,13,12,57,,
01/01/2014,7,2,19,13,12,62,5,15,11,11,65,2,11,11,9,60,3,10,11,13,59,2,9,13,12,62,,
01/01/2014,8,3,20,13,12,67,5,15,11,10,69,1,11,11,9,63,2,11,12,13,60,3,9,11,12,65,,
01/01/2014,9,5,20,11,13,72,8,16,10,11,70,3,10,10,9,67,5,11,12,13,63,5,9,12,13,68,,
01/01/2014,10,9,20,13,13,74,19,16,9,10,72,5,10,10,9,69,9,11,14,13,65,11,9,14,14,71,,
01/01/2014,11,23,21,13,13,77,29,16,9,10,74,18,10,11,9,72,18,11,15,13,69,25,9,12,13,74,,
01/01/2014,12,39,21,13,11,80,46,16,10,10,76,35,10,11,9,73,36,11,15,12,73,45,9,11,13,78,,
01/01/2014,13,57,21,12,10,83,60,17,10,10,77,59,10,12,9,74,59,11,15,12,76,68,9,12,12,80,,
01/01/2014,14,66,21,10,9,83,66,17,8,9,78,70,10,9,8,75,75,11,14,11,78,74,9,7,11,83,,
01/01/2014,15,65,21,10,9,83,63,17,10,9,78,68,10,8,7,76,76,11,10,10,80,66,9,4,9,83,,
01/01/2014,16,65,21,10,8,83,65,17,11,8,78,58,10,8,7,75,74,11,10,9,80,53,9,4,8,83,,
01/01/2014,17,63,21,13,8,82,66,17,10,7,78,41,10,9,6,74,66,11,8,8,78,46,9,6,7,81,,
01/01/2014,18,66,21,18,7,82,45,17,13,7,77,30,10,17,6,73,40,11,8,7,77,46,9,8,6,81,,
01/01/2014,19,45,22,20,6,82,35,17,18,7,76,21,10,19,6,74,30,11,14,6,78,43,9,10,5,81,,
01/01/2014,20,27,25,22,6,81,38,18,23,7,75,15,10,20,6,74,27,11,18,6,78,26,9,12,5,81,,
01/01/2014,21,25,25,26,6,81,32,17,22,7,75,9,9,23,6,74,26,9,19,6,78,15,9,17,5,81,,
01/01/2014,22,20,24,24,6,83,34,15,22,7,74,1,8,26,8,74,24,8,22,6,77,14,8,20,5,81,,
01/01/2014,23,17,22,23,7,85,31,14,22,7,73,1,8,26,9,73,19,8,20,7,76,6,7,20,5,81,,
01/01/2014,24,15,21,21,7,86,24,12,21,8,73,4,8,23,10,74,16,8,19,8,76,14,6,20,6,81,,
02/01/2014,1,14,21,20,7,83,17,10,19,8,72,5,8,21,11,75,18,7,18,9,76,5,6,20,7,80,,
02/01/2014,2,15,20,18,7,83,14,8,19,9,70,1,8,20,11,75,18,6,17,9,75,9,6,18,7,78,,
02/01/2014,3,19,19,13,7,83,14,8,17,9,68,1,7,17,11,74,25,5,15,10,74,8,5,17,8,77,,
02/01/2014,4,17,19,12,7,82,6,8,15,9,64,3,6,17,11,73,17,5,14,10,73,6,5,13,8,73,,
02/01/2014,5,15,18,13,6,78,5,8,16,9,61,2,5,16,11,70,18,5,13,9,70,7,5,13,8,70,,
02/01/2014,6,5,18,13,6,76,5,7,16,9,59,1,5,17,10,66,14,4,15,9,68,4,4,13,7,66,,
02/01/2014,7,2,18,14,6,72,3,7,16,9,58,1,5,16,11,63,11,4,17,9,64,5,4,13,6,62,,
02/01/2014,8,1,18,15,7,67,3,7,17,10,56,2,5,24,13,60,7,4,19,9,61,5,4,13,7,58,,
02/01/2014,9,3,18,22,8,63,5,6,26,13,57,2,5,24,15,58,13,4,18,10,57,5,4,19,9,56,,
02/01/2014,10,9,18,26,9,62,17,6,30,14,57,6,5,33,15,57,15,5,20,11,53,11,4,26,11,53,,
02/01/2014,11,18,18,24,10,60,30,6,35,15,58,13,5,29,17,55,22,5,26,11,50,28,4,29,12,51,,
02/01/2014,12,33,18,19,11,58,40,6,27,15,58,18,6,28,17,54,25,5,25,12,48,37,5,26,13,50,,
02/01/2014,13,35,18,20,11,56,43,6,10,15,57,32,6,24,17,53,33,7,22,12,43,45,5,27,13,48,,
02/01/2014,14,42,18,10,11,55,46,6,8,14,58,43,7,10,17,53,43,8,23,13,41,54,5,16,13,47,,
02/01/2014,15,28,18,14,10,55,44,6,10,13,59,40,7,12,15,52,50,8,18,12,39,58,5,8,12,45,,
02/01/2014,16,24,19,13,9,55,35,6,10,11,63,21,7,16,13,51,35,8,14,11,38,49,5,9,11,45,,
02/01/2014,17,19,19,11,8,55,29,6,13,9,64,25,7,14,12,51,25,8,13,10,38,29,5,14,9,46,,
02/01/2014,18,14,19,12,7,54,25,6,10,7,64,11,7,13,10,52,20,8,13,9,38,15,5,13,8,48,,
02/01/2014,19,14,19,11,6,53,23,6,12,7,64,6,7,13,9,52,13,8,14,8,38,7,5,13,7,52,,
02/01/2014,20,11,18,10,5,53,23,5,11,7,64,5,6,13,8,52,15,8,12,8,38,5,5,13,7,53,,
02/01/2014,21,12,15,11,5,53,21,5,10,7,61,8,6,12,8,51,15,8,10,7,38,8,5,11,6,53,,
02/01/2014,22,13,13,11,5,49,17,5,11,8,63,7,6,10,8,50,15,8,11,6,37,11,5,11,6,53,,
02/01/2014,23,13,12,10,5,47,18,5,9,8,63,8,6,10,8,49,16,8,11,6,37,11,5,11,6,53,,
02/01/2014,24,15,11,10,5,44,18,5,8,8,58,9,5,10,7,48,16,8,10,6,37,13,5,8,6,53,,
