INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp:	2015/01/01 al 2015/12/31
average_interval: 001h
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,,
01/01/2015,1,15,26,23,15,113,3,32,18,24,110,3,20,23,22,121,19,12,30,28,122,4,12,26,22,114,,
01/01/2015,2,11,25,22,15,114,4,28,16,26,112,3,21,21,23,121,19,12,27,29,123,11,13,20,24,115,,
01/01/2015,3,7,25,20,15,117,4,30,14,27,114,3,21,19,22,122,16,12,23,29,125,5,12,17,23,116,,
01/01/2015,4,5,25,18,16,119,5,32,13,26,117,4,19,17,19,123,20,12,22,27,127,4,12,16,22,118,,
01/01/2015,5,4,25,17,17,122,4,34,12,25,117,4,20,14,18,124,15,12,21,25,129,4,12,14,21,119,,
01/01/2015,6,4,25,14,17,124,4,32,12,25,120,4,21,14,17,125,18,12,17,24,130,4,13,14,20,122,,
01/01/2015,7,4,26,14,16,126,3,32,11,24,122,4,22,14,17,127,23,12,16,21,132,3,13,12,17,123,,
01/01/2015,8,3,25,13,17,128,4,30,10,23,124,4,23,14,16,127,20,12,13,21,134,4,14,12,16,125,,
01/01/2015,9,6,25,17,17,130,5,30,15,22,126,4,23,20,16,127,18,12,18,20,134,9,15,15,16,126,,
01/01/2015,10,19,25,25,18,133,15,29,20,20,129,11,24,24,16,127,29,12,23,19,135,21,15,20,15,127,,
01/01/2015,11,36,25,26,18,135,35,30,16,19,130,33,24,24,16,128,43,12,18,18,135,36,15,18,15,128,,
01/01/2015,12,50,26,23,17,136,49,30,16,17,132,49,24,19,15,128,69,12,16,17,135,41,15,8,14,128,,
01/01/2015,13,71,26,16,16,137,49,29,9,15,133,46,23,8,15,127,102,12,12,16,135,41,14,3,13,127,,
01/01/2015,14,100,25,11,15,138,59,27,5,14,132,41,22,5,13,126,111,11,11,15,133,42,13,3,11,125,,
01/01/2015,15,104,24,9,14,136,46,25,5,12,130,39,22,6,12,123,82,11,8,13,130,31,13,2,9,124,,
01/01/2015,16,96,23,10,11,136,35,25,6,10,129,32,22,5,10,121,45,10,5,12,128,29,12,2,7,126,,
01/01/2015,17,47,22,9,8,135,34,24,7,7,128,28,22,6,7,119,40,10,6,10,126,30,12,3,5,127,,
01/01/2015,18,30,22,11,6,134,29,23,9,5,128,24,21,10,6,117,26,9,5,8,126,26,12,4,4,129,,
01/01/2015,19,18,22,17,5,133,21,22,13,5,127,17,20,13,5,116,26,9,12,7,125,25,11,8,3,119,,
01/01/2015,20,8,20,20,5,132,16,22,19,5,125,9,19,20,5,116,24,8,13,6,123,14,11,14,3,117,,
01/01/2015,21,7,19,20,6,131,17,22,20,5,124,5,18,20,6,114,19,8,17,6,119,9,11,17,4,116,,
01/01/2015,22,10,18,20,6,130,12,22,20,7,122,6,17,20,7,114,21,8,15,6,117,11,11,15,4,114,,
01/01/2015,23,2,18,20,7,129,7,22,19,10,121,3,16,21,8,113,22,8,14,7,116,7,11,16,5,114,,
01/01/2015,24,2,17,19,8,127,10,20,20,13,121,2,15,20,9,112,21,8,15,8,113,6,11,14,5,113,,
02/01/2015,1,4,16,18,10,125,11,19,18,16,121,2,15,18,11,111,23,7,14,8,111,7,11,12,5,112,,
02/01/2015,2,5,15,17,11,124,13,16,16,17,119,2,14,18,12,110,21,7,14,9,107,11,10,12,5,111,,
02/01/2015,3,4,13,16,12,121,8,13,14,18,117,2,13,18,14,108,22,7,14,9,104,10,9,10,6,109,,
02/01/2015,4,4,9,14,12,118,7,8,13,18,115,2,11,17,15,106,21,6,13,10,102,15,8,9,5,107,,
02/01/2015,5,3,8,13,13,116,4,8,12,17,114,2,10,15,16,104,19,5,12,10,96,11,6,11,5,105,,
02/01/2015,6,2,7,12,12,113,1,7,14,18,111,2,8,15,17,104,18,4,11,10,88,4,5,12,5,102,,
02/01/2015,7,2,6,12,12,111,2,6,15,19,109,2,7,16,18,102,11,4,13,10,78,4,5,13,5,94,,
02/01/2015,8,2,5,14,14,108,2,6,19,22,106,2,5,17,19,97,6,3,15,10,67,4,5,15,7,84,,
02/01/2015,9,4,5,17,14,106,4,5,22,23,105,4,5,22,20,90,13,3,15,12,61,7,3,19,9,76,,
02/01/2015,10,13,5,28,15,104,11,5,27,24,102,9,4,32,21,81,16,2,21,13,52,10,2,25,10,65,,
02/01/2015,11,17,4,28,15,103,23,4,18,24,96,14,3,31,20,71,20,2,18,14,44,21,2,22,11,54,,
02/01/2015,12,26,3,18,15,102,28,4,12,24,88,23,3,19,18,63,29,2,13,13,36,25,2,5,11,45,,
02/01/2015,13,34,3,11,15,97,29,4,7,24,80,25,2,6,16,55,33,2,9,13,30,25,2,2,12,41,,
02/01/2015,14,34,2,8,14,91,30,4,7,22,77,27,2,6,15,55,31,2,5,12,26,29,2,2,14,41,,
02/01/2015,15,34,2,5,12,88,31,4,7,18,77,28,2,7,13,55,30,2,5,11,26,30,2,3,6,43,,
02/01/2015,16,33,2,6,9,87,31,4,8,13,78,28,2,7,11,55,30,2,5,10,26,31,2,4,5,43,,
02/01/2015,17,31,2,10,7,84,30,4,10,8,78,26,2,8,8,55,29,2,5,8,26,29,2,5,5,48,,
02/01/2015,18,24,2,12,6,88,26,3,11,5,80,21,2,9,7,55,25,2,7,7,26,27,2,7,4,49,,
02/01/2015,19,21,2,12,5,91,19,3,15,5,80,15,2,12,6,57,24,2,10,6,26,24,2,10,3,49,,
02/01/2015,20,20,2,13,5,91,14,3,17,5,81,9,2,18,6,57,24,2,13,6,28,23,2,10,3,51,,
02/01/2015,21,11,2,19,5,91,11,3,20,6,83,7,2,18,6,55,23,2,12,6,28,22,2,14,4,51,,
02/01/2015,22,4,2,22,6,90,8,3,19,7,84,4,2,19,7,54,23,2,15,6,28,18,2,16,5,51,,
02/01/2015,23,4,2,20,7,88,4,3,19,9,83,4,2,20,7,52,21,2,13,6,26,21,2,17,5,50,,
02/01/2015,24,10,2,20,8,90,5,3,20,11,77,6,2,19,8,51,16,2,15,6,28,15,2,15,5,50,,
