INDICE DE CALIDAD DEL AIRE
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp:	2018/01/01 al 2018/08/31
average_interval: 001h
Fecha,Hora,Noroeste Ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noreste Ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Centro Ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Suroeste Ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Sureste Ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,,
01/01/2018,1,24,8,14,12,106,24,5,18,10,108,17,5,21,8,97,22,9,17,8,67,5,5,25,11,94,,
01/01/2018,2,23,8,18,12,107,29,5,16,10,108,21,5,18,8,101,26,9,12,7,70,8,5,21,12,101,,
01/01/2018,3,18,8,19,12,108,23,5,19,11,109,19,5,16,8,101,29,9,10,7,73,4,5,21,14,102,,
01/01/2018,4,12,10,18,12,110,18,5,17,11,110,17,6,17,8,102,25,8,9,7,76,6,5,18,15,106,,
01/01/2018,5,11,12,18,12,113,17,5,18,10,111,14,8,19,7,103,24,8,9,6,77,4,5,20,15,107,,
01/01/2018,6,8,15,16,11,114,10,7,16,10,112,7,11,19,7,103,22,8,13,6,78,4,5,19,14,109,,
01/01/2018,7,9,16,14,10,115,10,8,15,9,112,10,13,17,6,104,19,8,11,6,81,6,5,11,13,111,,
01/01/2018,8,11,18,12,9,115,8,9,16,8,111,7,15,15,5,104,14,8,14,5,84,8,5,10,12,112,,
01/01/2018,9,11,18,13,8,115,9,11,14,7,111,12,16,12,5,104,13,8,14,5,84,11,6,8,11,112,,
01/01/2018,10,19,20,11,8,114,14,14,13,7,111,16,18,12,5,103,22,8,13,5,88,18,6,7,10,112,,
01/01/2018,11,26,22,10,7,114,22,15,12,7,109,26,18,12,5,102,31,8,10,5,91,26,7,10,8,113,,
01/01/2018,12,36,22,12,6,112,34,15,10,7,108,36,19,11,5,102,39,8,9,5,94,35,8,10,7,112,,
01/01/2018,13,41,23,10,5,111,47,15,6,6,107,49,20,10,5,102,47,9,9,5,96,46,8,11,6,113,,
01/01/2018,14,57,23,8,5,112,46,15,5,5,106,76,21,9,5,103,55,9,9,5,99,55,8,9,5,113,,
01/01/2018,15,55,23,7,5,112,47,15,5,5,106,92,21,9,5,103,73,10,8,5,99,61,8,7,5,113,,
01/01/2018,16,50,23,7,5,112,46,15,6,5,106,86,21,8,5,104,88,10,8,5,100,63,8,6,5,113,,
01/01/2018,17,48,23,7,5,112,39,15,6,5,106,63,21,7,5,105,90,10,8,5,101,61,8,6,4,113,,
01/01/2018,18,30,22,7,4,112,28,15,7,5,106,39,21,8,5,105,49,10,10,5,101,44,8,8,4,112,,
01/01/2018,19,17,22,9,4,111,22,15,12,5,106,24,21,9,4,104,34,10,10,5,101,29,8,10,4,112,,
01/01/2018,20,11,22,10,4,111,15,15,9,5,105,15,21,8,4,104,17,11,9,4,101,14,8,9,4,112,,
01/01/2018,21,9,22,9,4,110,12,15,8,5,103,14,21,8,4,103,13,11,9,4,101,10,8,9,4,112,,
01/01/2018,22,9,23,9,4,108,11,15,8,5,102,12,21,8,4,103,13,12,8,4,100,11,8,8,4,112,,
